denisake,Tue, 31 Jan 2023 01:19:26 EET
Method,CogC,v(G)
com.socialnetwork.app.repository.Network,5,1,1,0,32
com.socialnetwork.app.repository.UserRepo,10,2,6,0,12
com.socialnetwork.app.service.AppService,19,1,1,0,37
com.socialnetwork.app.tests.Tests,0,1,1,0,1
com.socialnetwork.app.utils.Constants,6,1,0,0,0

Interface,CBO
com.socialnetwork.app.domain.validation.Validator,5
com.socialnetwork.app.repository.Repository,3
com.socialnetwork.app.repository.UpdatableRepository,3
com.socialnetwork.app.service.Service,9
com.socialnetwork.app.utils.Observer.Observable,2
com.socialnetwork.app.utils.Observer.Observer,4

Package,Ca,Ce
com.socialnetwork.app,6,27
com.socialnetwork.app.controllers,2,182
com.socialnetwork.app.domain,390,8
com.socialnetwork.app.domain.validation,14,17
com.socialnetwork.app.exceptions,59,0
com.socialnetwork.app.presentation,0,34
com.socialnetwork.app.repository,54,171
com.socialnetwork.app.service,48,176
com.socialnetwork.app.tests,0,0
com.socialnetwork.app.utils,32,0
com.socialnetwork.app.utils.Observer,10,0

Project,v(G)avg,v(G)tot
project,1.80,349

